,name,연료
0,XE(15년~현재),가솔린
1,XE(15년~현재),디젤
2,XF (X260) (16년~현재),가솔린
3,XF (X260) (16년~현재),디젤
4,New XF (11~15년),가솔린
5,New XF (11~15년),디젤
6,XF (08~11년),가솔린
7,XF (08~11년),디젤
8,All New XJ (10년~현재),가솔린
9,All New XJ (10년~현재),디젤
10,New XJ (68~09년),가솔린
11,New XJ (68~09년),디젤
12,XJR(89년~현재),가솔린
13,XJ-8(97~09년),가솔린
14,XJR(89년~현재),가솔린
15,XK8(96~06년),가솔린
16,XKR (96~15년),가솔린
17,XKR-S (11~15년),가솔린
18,F-PACE(16년~현재),가솔린
19,F-PACE(16년~현재),디젤
20,F-TYPE(13년~현재),가솔린
21,X-TYPE(01~09년),가솔린
22,X-TYPE(01~09년),디젤
23,S-TYPE(99~08년),가솔린
24,S-TYPE(99~08년),디젤
25,다임러(68~09년),가솔린
