,name,연료,brand_name,car_type
0,SM3 네오 (14년~현재),가솔린,르노삼성,
1,SM3 네오 (14년~현재),디젤,르노삼성,
2,SM3 Z.E. (13년~현재),전기,르노삼성,
3,뉴SM3 (09~14년),가솔린,르노삼성,
4,SM3 뉴 제너레이션 (05~11년),가솔린,르노삼성,
5,SM3 뉴 제너레이션 (05~11년),LPG(일반인 구입),르노삼성,
6,SM3 (02~05년),가솔린,르노삼성,
7,SM5 노바 (15년~현재),가솔린,르노삼성,
8,SM5 노바 (15년~현재),디젤,르노삼성,
9,SM5 노바 (15년~현재),LPG,르노삼성,
10,뉴SM5 플래티넘 (12~15년),가솔린,르노삼성,
11,뉴SM5 플래티넘 (12~15년),디젤,르노삼성,
12,뉴SM5 플래티넘 (12~15년),LPG,르노삼성,
13,뉴SM5 플래티넘 (12~15년),LPG(일반인 구입),르노삼성,
14,뉴SM5(신형) (10~12년),가솔린,르노삼성,
15,뉴SM5(신형) (10~12년),LPG,르노삼성,
16,뉴SM5(신형) (10~12년),LPG(일반인 구입),르노삼성,
17,SM5 뉴 임프레션 (07~10년),가솔린,르노삼성,
18,SM5 뉴 임프레션 (07~10년),LPG,르노삼성,
19,SM5 뉴 임프레션 (07~10년),LPG(일반인 구입),르노삼성,
20,SM5 뉴 임프레션 (07~10년),가솔린+CNG,르노삼성,
21,뉴SM5 (05~07년),가솔린,르노삼성,
22,뉴SM5 (05~07년),LPG,르노삼성,
23,뉴SM5 (05~07년),LPG(일반인 구입),르노삼성,
24,뉴SM5 (05~07년),가솔린+LPG,르노삼성,
25,SM5 (98~05년),가솔린,르노삼성,
26,SM5 (98~05년),LPG,르노삼성,
27,SM5 (98~05년),LPG(일반인 구입),르노삼성,
28,SM5 (98~05년),가솔린+LPG,르노삼성,
29,SM6,가솔린,르노삼성,
30,SM6,디젤,르노삼성,
31,SM6,LPG,르노삼성,
32,SM7 노바 (14년~현재),가솔린,르노삼성,
33,SM7 노바 (14년~현재),LPG,르노삼성,
34,All New SM7 (11~14년),가솔린,르노삼성,
35,All New SM7 (11~14년),LPG,르노삼성,
36,All New SM7 (11~14년),가솔린+LPG,르노삼성,
37,All New SM7 (11~14년),가솔린+CNG,르노삼성,
38,SM7 New Art (08~11년),가솔린,르노삼성,
39,SM7 New Art (08~11년),가솔린+LPG,르노삼성,
40,SM7 New Art (08~11년),가솔린+CNG,르노삼성,
41,SM7 (04~08년),가솔린,르노삼성,
42,SM7 (04~08년),가솔린+LPG,르노삼성,
43,뉴QM3 (17년~현재),디젤,르노삼성,
44,QM3 (13~17년),디젤,르노삼성,
45,QM5 네오 (14~16년),가솔린,르노삼성,
46,QM5 네오 (14~16년),디젤,르노삼성,
47,뉴QM5 (11~14년),가솔린,르노삼성,
48,뉴QM5 (11~14년),디젤,르노삼성,
49,QM5 (07~11년),가솔린,르노삼성,
50,QM5 (07~11년),디젤,르노삼성,
51,QM6,가솔린,르노삼성,
52,QM6,디젤,르노삼성,
53,트위지,전기,르노삼성,
