,name,연료,brand_name,car_type
0,G2X(07~08년),가솔린,쉐보레(GM대우),
1,뉴 다마스 (08년~현재),LPG,쉐보레(GM대우),
2,뉴 다마스 (08년~현재),LPG(일반인 구입),쉐보레(GM대우),
3,다마스 II (03~07년),LPG,쉐보레(GM대우),
4,다마스 II (03~07년),LPG(일반인 구입),쉐보레(GM대우),
5,라노스 II (00~02년),가솔린,쉐보레(GM대우),
6,뉴 라보 (08년~현재),LPG,쉐보레(GM대우),
7,뉴 라보 (08년~현재),LPG(일반인 구입),쉐보레(GM대우),
8,라보 (91~06년),LPG,쉐보레(GM대우),
9,라보 (91~06년),LPG(일반인 구입),쉐보레(GM대우),
10,라세티 프리미어 (08~11년),가솔린,쉐보레(GM대우),
11,라세티 프리미어 (08~11년),디젤,쉐보레(GM대우),
12,라세티 (02~09년),가솔린,쉐보레(GM대우),
13,라세티 (02~09년),디젤,쉐보레(GM대우),
14,레조(00~07년),LPG,쉐보레(GM대우),
15,레조(00~07년),LPG(일반인 구입),쉐보레(GM대우),
16,마티즈 크리에이티브 (09~11년),가솔린,쉐보레(GM대우),
17,마티즈 크리에이티브 (09~11년),LPG,쉐보레(GM대우),
18,마티즈 크리에이티브 (09~11년),LPG(일반인 구입),쉐보레(GM대우),
19,All New 마티즈 (05~09년),가솔린,쉐보레(GM대우),
20,마티즈 클래식 (09~11년),가솔린,쉐보레(GM대우),
21,마티즈 II (00~05년),가솔린,쉐보레(GM대우),
22,마티즈 (98~00년),가솔린,쉐보레(GM대우),
23,올 뉴 말리부 (16년~현재),가솔린,쉐보레(GM대우),
24,올 뉴 말리부 (16년~현재),가솔린+전기,쉐보레(GM대우),
25,말리부 (11~16년),가솔린,쉐보레(GM대우),
26,말리부 (11~16년),디젤,쉐보레(GM대우),
27,말리부 (11~16년),LPG,쉐보레(GM대우),
28,말리부 (11~16년),LPG(일반인 구입),쉐보레(GM대우),
29,매그너스(99~06년),가솔린,쉐보레(GM대우),
30,매그너스(99~06년),LPG(일반인 구입),쉐보레(GM대우),
31,베리타스(08~10년),가솔린,쉐보레(GM대우),
32,베리타스(08~10년),가솔린+CNG,쉐보레(GM대우),
33,브로엄(91~00년),가솔린,쉐보레(GM대우),
34,스테이츠맨(05~07년),가솔린,쉐보레(GM대우),
35,더 넥스트 스파크 (15년~현재),가솔린,쉐보레(GM대우),
36,스파크 (11~15년),가솔린,쉐보레(GM대우),
37,스파크 (11~15년),LPG,쉐보레(GM대우),
38,스파크 (11~15년),LPG(일반인 구입),쉐보레(GM대우),
39,더 뉴 아베오 세단 (16년~현재),가솔린,쉐보레(GM대우),
40,더 뉴 아베오 해치백 (16년~현재),가솔린,쉐보레(GM대우),
41,아베오 세단 (11~16년),가솔린,쉐보레(GM대우),
42,아베오 해치백 (11~16년),가솔린,쉐보레(GM대우),
43,아카디아(94~99년),가솔린,쉐보레(GM대우),
44,아카디아(94~99년),가솔린+LPG,쉐보레(GM대우),
45,알페온(10~15년),가솔린,쉐보레(GM대우),
46,알페온(10~15년),가솔린+전기,쉐보레(GM대우),
47,에스페로(90~97년),가솔린,쉐보레(GM대우),
48,올란도(11년~현재),디젤,쉐보레(GM대우),
49,올란도(11년~현재),LPG,쉐보레(GM대우),
50,올란도(11년~현재),LPG(일반인 구입),쉐보레(GM대우),
51,윈스톰 (06~10년),디젤,쉐보레(GM대우),
52,윈스톰 맥스 (08~10년),디젤,쉐보레(GM대우),
53,임팔라(15년~현재),가솔린,쉐보레(GM대우),
54,젠트라 (05~11년),가솔린,쉐보레(GM대우),
55,젠트라 X (07~11년),가솔린,쉐보레(GM대우),
56,올 뉴 카마로 (16년~현재),가솔린,쉐보레(GM대우),
57,카마로 (11~15년),가솔린,쉐보레(GM대우),
58,칼로스(02~07년),가솔린,쉐보레(GM대우),
59,올 뉴 크루즈 (17년~현재),가솔린,쉐보레(GM대우),
60,올 뉴 크루즈 (17년~현재),디젤,쉐보레(GM대우),
61,어메이징 뉴 크루즈 (15~17년),가솔린,쉐보레(GM대우),
62,어메이징 뉴 크루즈 (15~17년),디젤,쉐보레(GM대우),
63,어메이징 뉴 크루즈5 (15~17년),가솔린,쉐보레(GM대우),
64,어메이징 뉴 크루즈5 (15~17년),디젤,쉐보레(GM대우),
65,크루즈 (11~14년),가솔린,쉐보레(GM대우),
66,크루즈 (11~14년),디젤,쉐보레(GM대우),
67,크루즈 (11~14년),LPG(일반인 구입),쉐보레(GM대우),
68,크루즈5 (11~14년),가솔린,쉐보레(GM대우),
69,크루즈5 (11~14년),디젤,쉐보레(GM대우),
70,토스카 (06~08년),가솔린,쉐보레(GM대우),
71,토스카 (06~08년),디젤,쉐보레(GM대우),
72,토스카 (06~08년),LPG,쉐보레(GM대우),
73,토스카 (06~08년),LPG(일반인 구입),쉐보레(GM대우),
74,토스카 프리미엄6 (08~11년),가솔린,쉐보레(GM대우),
75,토스카 프리미엄6 (08~11년),디젤,쉐보레(GM대우),
76,토스카 프리미엄6 (08~11년),LPG(일반인 구입),쉐보레(GM대우),
77,더 뉴 트랙스 (16년~현재),가솔린,쉐보레(GM대우),
78,더 뉴 트랙스 (16년~현재),디젤,쉐보레(GM대우),
79,트랙스 (13~16년),가솔린,쉐보레(GM대우),
80,트랙스 (13~16년),디젤,쉐보레(GM대우),
81,티코(91~01년),가솔린,쉐보레(GM대우),
