,name,연료,brand_name,car_type
0,CT200h(10년~현재),가솔린+전기,MG로버,
1,뉴 ES350 (12년~현재),가솔린,MG로버,
2,뉴 ES300h (12년~현재),가솔린,MG로버,
3,뉴 ES300h (12년~현재),가솔린+전기,MG로버,
4,ES350 (06~12년),가솔린,MG로버,
5,ES330 (01~06년),가솔린,MG로버,
6,ES300 (91~06년),가솔린,MG로버,
7,뉴 GS200t (16~17년),가솔린,MG로버,
8,뉴 GS250 (12~16년),가솔린,MG로버,
9,뉴 GS350 (12년~현재),가솔린,MG로버,
10,뉴 GS450h (12년~현재),가솔린+전기,MG로버,
11,GS300 (91~12년),가솔린,MG로버,
12,GS350 (97~12년),가솔린,MG로버,
13,GS430 (97~12년),가솔린,MG로버,
14,GS450h (97~12년),가솔린+전기,MG로버,
15,GS460 (05~12년),가솔린,MG로버,
16,GX470 (02~09년),가솔린,MG로버,
17,뉴 IS200t (15~17년),가솔린,MG로버,
18,뉴 IS250 (13년~현재),가솔린,MG로버,
19,IS200 (98~05년),가솔린,MG로버,
20,IS250 (05~13년),가솔린,MG로버,
21,IS F (07~14년),가솔린,MG로버,
22,LS600hL (06~17년),가솔린+전기,MG로버,
23,LS460L (06~17년),가솔린,MG로버,
24,LS460 (06~17년),가솔린,MG로버,
25,LS430 (00~06년),가솔린,MG로버,
26,NX200t (15~17년),가솔린,MG로버,
27,NX300h (14년~현재),가솔린+전기,MG로버,
28,RC200t (16년~현재),가솔린,MG로버,
29,RC350 (15년~현재),가솔린,MG로버,
30,RX350 4세대 (16년~현재),가솔린,MG로버,
31,RX450h 4세대 (16년~현재),가솔린+전기,MG로버,
32,RX330 (03~09년),가솔린,MG로버,
33,RX350 (97~15년),가솔린,MG로버,
34,RX400h (03~09년),가솔린+전기,MG로버,
35,RX450h (09~15년),가솔린+전기,MG로버,
36,SC430 (01~10년),가솔린,MG로버,
