,name,연료,brand_name,car_type
0,CT200h(10년~현재),가솔린+전기,렉서스,
1,뉴 ES350 (12년~현재),가솔린,렉서스,
2,뉴 ES300h (12년~현재),가솔린,렉서스,
3,뉴 ES300h (12년~현재),가솔린+전기,렉서스,
4,ES350 (06~12년),가솔린,렉서스,
5,ES330 (01~06년),가솔린,렉서스,
6,ES300 (91~06년),가솔린,렉서스,
7,뉴 GS200t (16~17년),가솔린,렉서스,
8,뉴 GS250 (12~16년),가솔린,렉서스,
9,뉴 GS350 (12년~현재),가솔린,렉서스,
10,뉴 GS450h (12년~현재),가솔린+전기,렉서스,
11,GS300 (91~12년),가솔린,렉서스,
12,GS350 (97~12년),가솔린,렉서스,
13,GS430 (97~12년),가솔린,렉서스,
14,GS450h (97~12년),가솔린+전기,렉서스,
15,GS460 (05~12년),가솔린,렉서스,
16,GX470 (02~09년),가솔린,렉서스,
17,뉴 IS200t (15~17년),가솔린,렉서스,
18,뉴 IS250 (13년~현재),가솔린,렉서스,
19,IS200 (98~05년),가솔린,렉서스,
20,IS250 (05~13년),가솔린,렉서스,
21,IS F (07~14년),가솔린,렉서스,
22,LS600hL (06~17년),가솔린+전기,렉서스,
23,LS460L (06~17년),가솔린,렉서스,
24,LS460 (06~17년),가솔린,렉서스,
25,LS430 (00~06년),가솔린,렉서스,
26,NX200t (15~17년),가솔린,렉서스,
27,NX300h (14년~현재),가솔린+전기,렉서스,
28,RC200t (16년~현재),가솔린,렉서스,
29,RC350 (15년~현재),가솔린,렉서스,
30,RX350 4세대 (16년~현재),가솔린,렉서스,
31,RX450h 4세대 (16년~현재),가솔린+전기,렉서스,
32,RX330 (03~09년),가솔린,렉서스,
33,RX350 (97~15년),가솔린,렉서스,
34,RX400h (03~09년),가솔린+전기,렉서스,
35,RX450h (09~15년),가솔린+전기,렉서스,
36,SC430 (01~10년),가솔린,렉서스,
