,name,연료,brand_name,car_type
0,A1(10년~현재),디젤,아우디,
1,뉴 A3 (03년~현재),가솔린,아우디,
2,뉴 A3 (03년~현재),디젤,아우디,
3,뉴 A3 (03년~현재),가솔린+전기,아우디,
4,A4 (B9) (16년~현재),가솔린,아우디,
5,뉴 A4 (05~16년),가솔린,아우디,
6,뉴 A4 (05~16년),디젤,아우디,
7,A4 (94~05년),가솔린,아우디,
8,A5(07년~현재),가솔린,아우디,
9,A5(07년~현재),디젤,아우디,
10,뉴 A6 (04년~현재),가솔린,아우디,
11,뉴 A6 (04년~현재),디젤,아우디,
12,A6 (94~04년),가솔린,아우디,
13,A7(10년~현재),가솔린,아우디,
14,A7(10년~현재),디젤,아우디,
15,뉴 A8 (02년~현재),가솔린,아우디,
16,뉴 A8 (02년~현재),디젤,아우디,
17,S3(96년~현재),가솔린,아우디,
18,뉴 S4 (08년~현재),가솔린,아우디,
19,S4 (91~08년),가솔린,아우디,
20,S5(07년~현재),가솔린,아우디,
21,S6(94년~현재),가솔린,아우디,
22,S7(12년~현재),가솔린,아우디,
23,S8(94년~현재),가솔린,아우디,
24,뉴 TT (06~14년),가솔린,아우디,
25,TT (8S) (14년~현재),가솔린,아우디,
26,TT (98~06년),가솔린,아우디,
27,TTS (8S) (15년~현재),가솔린,아우디,
28,TTS (08~14년),가솔린,아우디,
29,RS4(00~08년),가솔린,아우디,
30,RS5(10년~현재),가솔린,아우디,
31,RS7(14년~현재),가솔린,아우디,
32,Q3(11년~현재),디젤,아우디,
33,Q5(08년~현재),가솔린,아우디,
34,Q5(08년~현재),디젤,아우디,
35,Q7 (4M) (16년~현재),디젤,아우디,
36,Q7 (05~15년),가솔린,아우디,
37,Q7 (05~15년),디젤,아우디,
38,SQ5(13년~현재),디젤,아우디,
39,R8 (4S) (16년~현재),가솔린,아우디,
40,R8 (06~15년),가솔린,아우디,
41,올로드 콰트로(99년~현재),디젤,아우디,
