,name,연료,brand_name,car_type
0,Q30(16년~현재),가솔린,인피니티,
1,Q50(14년~현재),디젤,인피니티,
2,Q50(14년~현재),가솔린+전기,인피니티,
3,Q60(14년~현재),가솔린,인피니티,
4,Q70(14년~현재),가솔린,인피니티,
5,Q70(14년~현재),디젤,인피니티,
6,QX50(14년~현재),가솔린,인피니티,
7,QX60(14년~현재),가솔린,인피니티,
8,QX70(14년~현재),가솔린,인피니티,
9,QX80(14년~현재),가솔린,인피니티,
10,G25 (11~13년),가솔린,인피니티,
11,G35 (03~08년),가솔린,인피니티,
12,G37 (08~13년),가솔린,인피니티,
13,M30d (10~13년),디젤,인피니티,
14,M35 (03~10년),가솔린,인피니티,
15,M37 (10~13년),가솔린,인피니티,
16,M45 (03~10년),가솔린,인피니티,
17,M56 (10~13년),가솔린,인피니티,
18,Q45(90~08년),가솔린,인피니티,
19,EX35 (08~13년),가솔린,인피니티,
20,EX30d (10~13년),디젤,인피니티,
21,FX30d (09~13년),디젤,인피니티,
22,FX35 (03~13년),가솔린,인피니티,
23,FX45 (03~08년),가솔린,인피니티,
24,FX50 (09~13년),가솔린,인피니티,
25,JX35(12~13년),가솔린,인피니티,
26,QX56 (04~13년),가솔린,인피니티,
