,name,연료,brand_name,car_type
0,200 2세대 (15~17년),가솔린,크라이슬러,
1,더 뉴 300C (12년~현재),가솔린,크라이슬러,
2,더 뉴 300C (12년~현재),디젤,크라이슬러,
3,올 뉴 300C (11~12년),가솔린,크라이슬러,
4,올 뉴 300C (11~12년),LPG(일반인 구입),크라이슬러,
5,300C (04~10년),가솔린,크라이슬러,
6,300C (04~10년),디젤,크라이슬러,
7,300C (04~10년),가솔린+CNG,크라이슬러,
8,300M(99~04년),가솔린,크라이슬러,
9,PT 크루저(00~10년),가솔린,크라이슬러,
10,PT 크루저(00~10년),가솔린+LPG,크라이슬러,
11,네온(95~06년),가솔린,크라이슬러,
12,그랜드 보이저(88년~현재),가솔린,크라이슬러,
13,그랜드 보이저(88년~현재),디젤,크라이슬러,
14,그랜드 보이저(88년~현재),가솔린+LPG,크라이슬러,
15,뉴 세브링 (07~10년),가솔린,크라이슬러,
16,뉴 세브링 (07~10년),디젤,크라이슬러,
17,세브링 (95~06년),가솔린,크라이슬러,
18,퍼시피카(04~08년),가솔린,크라이슬러,
19,캐러밴(84년~현재),가솔린,크라이슬러,
20,크로스파이어(04~07년),가솔린,크라이슬러,
