,name,연료,brand_name,car_type
0,E-Series(61년~현재),가솔린,포드,
1,F150(73년~현재),가솔린,포드,
2,F150(73년~현재),가솔린+LPG,포드,
3,F250(88년~현재),가솔린,포드,
4,머스탱(64년~현재),가솔린,포드,
5,몬데오 4세대 (15년~현재),디젤,포드,
6,몬데오 3세대 (07~14년),디젤,포드,
7,몬데오 (92~07년),가솔린,포드,
8,윈드스타(94~03년),가솔린+LPG,포드,
9,이스케이프(01년~현재),가솔린,포드,
10,이코노라인(61년~현재),가솔린+LPG,포드,
11,익스플로러(91년~현재),가솔린,포드,
12,익스플로러(91년~현재),디젤,포드,
13,익스플로러(91년~현재),가솔린+LPG,포드,
14,쿠가 2세대(12년~현재),디젤,포드,
15,뉴 토러스 (09년~현재),가솔린,포드,
16,토러스 (86~09년),가솔린,포드,
17,트랜짓(13년~현재),가솔린,포드,
18,트랜짓(13년~현재),가솔린+LPG,포드,
19,파이브 헌드레드(05~07년),가솔린,포드,
20,포커스(98년~현재),가솔린,포드,
21,포커스(98년~현재),디젤,포드,
22,퓨전(07년~현재),가솔린,포드,
23,기타(80년~현재),가솔린,포드,
