,name,연료,brand_name,car_type
0,뉴 CC (12년~현재),가솔린,폭스바겐,
1,뉴 CC (12년~현재),디젤,폭스바겐,
2,CC (08~12년),가솔린,폭스바겐,
3,CC (08~12년),디젤,폭스바겐,
4,EOS(06~15년),가솔린,폭스바겐,
5,골프 7세대 (13년~현재),가솔린,폭스바겐,
6,골프 7세대 (13년~현재),디젤,폭스바겐,
7,골프 6세대 (08~14년),가솔린,폭스바겐,
8,골프 6세대 (08~14년),디젤,폭스바겐,
9,골프 5세대 (04~09년),가솔린,폭스바겐,
10,골프 5세대 (04~09년),디젤,폭스바겐,
11,골프 4세대 (97~04년),가솔린,폭스바겐,
12,골프 3세대 (91~99년),가솔린,폭스바겐,
13,골프 1세대 (74~83년),가솔린,폭스바겐,
14,보라(99~05년),가솔린,폭스바겐,
15,더 비틀 (12년~현재),디젤,폭스바겐,
16,뉴 비틀 (98~12년),가솔린,폭스바겐,
17,비틀 (38~03년),가솔린,폭스바겐,
18,코라도(88~95년),가솔린,폭스바겐,
19,시로코(08년~현재),가솔린,폭스바겐,
20,시로코(08년~현재),디젤,폭스바겐,
21,뉴 제타 (11년~현재),가솔린,폭스바겐,
22,뉴 제타 (11년~현재),디젤,폭스바겐,
23,제타 (79~11년),가솔린,폭스바겐,
24,제타 (79~11년),디젤,폭스바겐,
25,코라도(88~95년),가솔린,폭스바겐,
26,뉴 투아렉 (10년~현재),디젤,폭스바겐,
27,투아렉 (02~10년),가솔린,폭스바겐,
28,투아렉 (02~10년),디젤,폭스바겐,
29,뉴 티구안 (11~16년),디젤,폭스바겐,
30,티구안 (07~11년),가솔린,폭스바겐,
31,티구안 (07~11년),디젤,폭스바겐,
32,더 뉴 파사트 (11~15년),가솔린,폭스바겐,
33,더 뉴 파사트 (11~15년),디젤,폭스바겐,
34,뉴 파사트 (05~11년),가솔린,폭스바겐,
35,뉴 파사트 (05~11년),디젤,폭스바겐,
36,파사트 (73~05년),가솔린,폭스바겐,
37,파사트 바리안트 (73년~현재),디젤,폭스바겐,
38,페이톤(02년~현재),가솔린,폭스바겐,
39,페이톤(02년~현재),디젤,폭스바겐,
40,폴로(75년~현재),가솔린,폭스바겐,
41,폴로(75년~현재),디젤,폭스바겐,
