,name,연료,brand_name,car_type
0,206 (98~10년),가솔린,푸조,
1,206CC (00~08년),가솔린,푸조,
2,207CC (06~13년),가솔린,푸조,
3,207GT (06~13년),가솔린,푸조,
4,207SW (08~09년),가솔린,푸조,
5,208(13년~현재),디젤,푸조,
6,2008(13년~현재),디젤,푸조,
7,307CC (01~09년),가솔린,푸조,
8,307SW (01~09년),가솔린,푸조,
9,307SW (01~09년),디젤,푸조,
10,307 (01~09년),가솔린,푸조,
11,307 (01~09년),디젤,푸조,
12,308SW 2세대 (14년~현재),디젤,푸조,
13,308 2세대 (14년~현재),디젤,푸조,
14,308 (07~14년),디젤,푸조,
15,308CC (07~14년),디젤,푸조,
16,308SW (07~14년),디젤,푸조,
17,3008 2세대 (17년~현재),디젤,푸조,
18,3008 (09~16년),디젤,푸조,
19,407 (04~10년),가솔린,푸조,
20,407 (04~10년),디젤,푸조,
21,407SW (04~10년),디젤,푸조,
22,508 (11년~현재),디젤,푸조,
23,508SW (11년~현재),디젤,푸조,
24,508 RXH (14년~현재),디젤,푸조,
25,5008(17년~현재),디젤,푸조,
26,607(99~10년),가솔린,푸조,
27,607(99~10년),디젤,푸조,
28,RCZ(10~15년),가솔린,푸조,
