,name,연료,brand_name,car_type
0,CR-V 5세대 (17년~현재),가솔린,혼다,
1,New CR-V (11~16년),가솔린,혼다,
2,CR-V (96~11년),가솔린,혼다,
3,CR-Z(10~16년),가솔린+전기,혼다,
4,Fit(01년~현재),가솔린,혼다,
5,HR-V(16년~현재),가솔린,혼다,
6,N-BOX(12년~현재),가솔린,혼다,
7,S2000(99~09년),가솔린,혼다,
8,S660(15년~현재),가솔린,혼다,
9,레전드 5세대 (15년~현재),가솔린,혼다,
10,레전드 4세대 (04~12년),가솔린,혼다,
11,스텝웨건(96년~현재),가솔린,혼다,
12,시빅(73년~현재),가솔린,혼다,
13,시빅(73년~현재),가솔린+전기,혼다,
14,올뉴어코드 (08년~현재),가솔린,혼다,
15,올뉴어코드 (08년~현재),가솔린+전기,혼다,
16,어코드 (76~07년),가솔린,혼다,
17,엘리멘트(03~11년),가솔린,혼다,
18,오딧세이(95년~현재),가솔린,혼다,
19,인사이트(99~14년),가솔린+전기,혼다,
20,인테그라(85~06년),가솔린,혼다,
21,크로스투어(10~15년),가솔린,혼다,
22,파일럿 3세대 (15년~현재),가솔린,혼다,
23,파일럿 (03~15년),가솔린,혼다,
