"              날짜        종가      전일비        시가        고가        저가       거래량
0     2018.01.22    9300.0    100.0    9380.0    9380.0    9190.0  210816.0
1     2018.01.19    9200.0     60.0    9200.0    9350.0    9110.0  245297.0
2     2018.01.18    9140.0    280.0    8950.0    9150.0    8830.0  332697.0
3     2018.01.17    8860.0    120.0    9030.0    9030.0    8710.0  267286.0
4     2018.01.16    8980.0    170.0    8850.0    9000.0    8790.0  168289.0
5     2018.01.15    8810.0    200.0    8610.0    8920.0    8610.0  222656.0
6     2018.01.12    8610.0     10.0    8630.0    8800.0    8570.0  208295.0
7     2018.01.11    8600.0    310.0    8880.0    8920.0    8580.0  426491.0
8     2018.01.10    8910.0    130.0    8840.0    8970.0    8770.0  155717.0
9     2018.01.09    8780.0    130.0    8910.0    9190.0    8750.0  319621.0
10    2018.01.08    8910.0    330.0    9250.0    9300.0    8910.0  316077.0
11    2018.01.05    9240.0     10.0    9300.0    9430.0    9180.0  209175.0
12    2018.01.04    9250.0     80.0    9430.0    9430.0    9210.0  198482.0
13    2018.01.03    9330.0    180.0    9250.0    9640.0    9190.0  482598.0
14    2018.01.02    9150.0    100.0    9250.0    9250.0    8980.0  206515.0
15    2017.12.28    9250.0     10.0    9260.0    9310.0    9120.0   95670.0
16    2017.12.27    9260.0    270.0    9010.0    9270.0    8860.0  112218.0
17    2017.12.26    8990.0     10.0    9000.0    9110.0    8650.0  230223.0
18    2017.12.22    8980.0     40.0    8900.0    9110.0    8900.0   98154.0
19    2017.12.21    8940.0    260.0    9290.0    9290.0    8920.0  101047.0
20    2017.12.20    9200.0     90.0    9120.0    9340.0    9090.0  106009.0
21    2017.12.19    9110.0    420.0    9550.0    9620.0    9040.0  312425.0
22    2017.12.18    9530.0    210.0    9430.0    9750.0    9360.0  196387.0
23    2017.12.15    9320.0    500.0    9910.0    9910.0    9260.0  525576.0
24    2017.12.14    9820.0     10.0    9880.0    9930.0    9770.0  125316.0
25    2017.12.13    9830.0     20.0    9910.0   10100.0    9810.0  177187.0
26    2017.12.12    9850.0    350.0   10150.0   10200.0    9830.0  235931.0
27    2017.12.11   10200.0    200.0   10100.0   10200.0    9800.0  195127.0
28    2017.12.08   10000.0    240.0    9820.0   10450.0    9820.0  359762.0
29    2017.12.07    9760.0    230.0   10100.0   10150.0    9710.0  218851.0
...          ...       ...      ...       ...       ...       ...       ...
4420  2000.01.12   53000.0   7200.0   53400.0   54500.0   53000.0    6785.0
4421  2000.01.11   60200.0   1300.0   59900.0   64000.0   51900.0   29446.0
4422  2000.01.10   58900.0   7100.0   66100.0   70000.0   58100.0   22825.0
4423  2000.01.07   66000.0   9000.0   67100.0   70000.0   66000.0   12127.0
4424  2000.01.06   75000.0   6400.0   85000.0   87700.0   71700.0   22128.0
4425  2000.01.05   81400.0  11100.0   81400.0   81400.0   81400.0    1202.0
4426  2000.01.04   92500.0  12500.0   92500.0   97500.0   92500.0    7549.0
4427  1999.12.28  105000.0  14000.0  115000.0  115000.0  105000.0    6805.0
4428  1999.12.27  119000.0  11000.0  119000.0  133000.0  105000.0   64213.0
4429  1999.12.24  130000.0      0.0  129000.0  133000.0  114500.0   20045.0
4430  1999.12.23  130000.0  12500.0  130000.0  131500.0  120000.0   25669.0
4431  1999.12.22  117500.0  12500.0  105000.0  117500.0  105000.0   29384.0
4432  1999.12.21  105000.0  11000.0   94500.0  105000.0   85500.0   64054.0
4433  1999.12.20   94000.0  12500.0   94000.0   99000.0   94000.0   56125.0
4434  1999.12.17  106500.0  14000.0  134500.0  134500.0  106500.0  181134.0
4435  1999.12.16  120500.0  12500.0  120500.0  120500.0  120500.0   20186.0
4436  1999.12.15  108000.0  11200.0  108000.0  108000.0  108000.0     585.0
4437  1999.12.14   96800.0  10300.0   96800.0   96800.0   96800.0     818.0
4438  1999.12.13   86500.0   9200.0   86500.0   86500.0   86500.0     430.0
4439  1999.12.10   77300.0   8200.0   77300.0   77300.0   77300.0     171.0
4440  1999.12.09   69100.0   7400.0   69100.0   69100.0   69100.0     155.0
4441  1999.12.08   61700.0   6600.0   61700.0   61700.0   61700.0     342.0
4442  1999.12.07   55100.0   5850.0   55100.0   55100.0   55100.0     846.0
4443  1999.12.06   49250.0   5250.0   49250.0   49250.0   49250.0    3484.0
4444  1999.12.03   44000.0   4700.0   44000.0   44000.0   44000.0     546.0
4445  1999.12.02   39300.0   4200.0   39300.0   39300.0   39300.0     294.0
4446  1999.12.01   35100.0   3750.0   35100.0   35100.0   35100.0     169.0
4447  1999.11.30   31350.0      0.0   31350.0   31350.0   31350.0       9.0
4448         NaN       NaN      NaN       NaN       NaN       NaN       NaN
4449         NaN       NaN      NaN       NaN       NaN       NaN       NaN

[4450 rows x 7 columns]"
