,date,close
0,2018-02-06,33650
1,2018-02-05,25900
2,2018-02-02,23050
3,2018-02-01,22600
4,2018-01-31,22400
5,2018-01-30,22100
6,2018-01-29,22150
7,2018-01-26,22350
8,2018-01-25,21800
9,2018-01-24,21850
10,2018-01-23,22150
11,2018-01-22,22900
12,2018-01-19,22000
13,2018-01-18,22100
14,2018-01-17,22150
15,2018-01-16,21750
16,2018-01-15,21800
17,2018-01-12,22300
18,2018-01-11,22050
19,2018-01-10,21900
20,2018-01-09,21750
21,2018-01-08,21700
22,2018-01-05,21900
23,2018-01-04,22500
24,2018-01-03,22150
25,2018-01-02,22050
26,2017-12-28,21800
27,2017-12-27,21750
28,2017-12-26,21500
29,2017-12-22,21500
30,2017-12-21,21600
31,2017-12-20,22050
32,2017-12-19,22000
33,2017-12-18,21900
34,2017-12-15,21950
35,2017-12-14,21300
36,2017-12-13,21550
37,2017-12-12,21550
38,2017-12-11,21350
39,2017-12-08,21800
40,2017-12-07,21350
41,2017-12-06,22300
42,2017-12-05,21000
43,2017-12-04,21150
44,2017-12-01,21200
45,2017-11-30,21200
46,2017-11-29,21400
47,2017-11-28,21350
48,2017-11-27,21400
49,2017-11-24,21050
50,2017-11-23,21300
51,2017-11-22,21150
52,2017-11-21,21250
53,2017-11-20,21450
54,2017-11-17,21700
55,2017-11-16,23000
56,2017-11-15,23250
57,2017-11-14,23350
58,2017-11-13,23350
59,2017-11-10,23000
60,2017-11-09,23000
61,2017-11-08,23050
62,2017-11-07,22700
63,2017-11-06,22800
64,2017-11-03,23200
65,2017-11-02,23950
66,2017-11-01,23050
67,2017-10-31,23200
68,2017-10-30,23200
69,2017-10-27,23200
70,2017-10-26,22900
71,2017-10-25,24300
72,2017-10-24,23700
73,2017-10-23,23800
74,2017-10-20,23800
75,2017-10-19,22700
76,2017-10-18,22750
77,2017-10-17,22750
78,2017-10-16,23050
79,2017-10-13,23050
80,2017-10-12,22350
81,2017-10-11,23000
82,2017-10-10,21550
83,2017-09-29,21650
84,2017-09-28,21600
85,2017-09-27,21550
86,2017-09-26,22200
87,2017-09-25,22300
88,2017-09-22,22850
89,2017-09-21,24200
90,2017-09-20,24350
91,2017-09-19,24400
92,2017-09-18,24450
93,2017-09-15,24600
94,2017-09-14,24400
95,2017-09-13,24400
96,2017-09-12,24600
97,2017-09-11,24500
98,2017-09-08,24300
99,2017-09-07,24300
100,2017-09-06,24200
101,2017-09-05,24600
102,2017-09-04,24700
103,2017-09-01,24600
104,2017-08-31,24550
105,2017-08-30,24650
106,2017-08-29,24850
107,2017-08-28,24800
108,2017-08-25,24900
109,2017-08-24,25050
110,2017-08-23,24600
111,2017-08-22,24750
112,2017-08-21,24950
113,2017-08-18,25000
114,2017-08-17,24750
115,2017-08-16,24800
116,2017-08-14,24700
117,2017-08-11,24900
118,2017-08-10,24700
119,2017-08-09,25050
120,2017-08-08,25100
121,2017-08-07,25100
122,2017-08-04,25100
123,2017-08-03,24550
124,2017-08-02,25350
125,2017-08-01,25350
126,2017-07-31,25100
127,2017-07-28,25350
128,2017-07-27,25350
129,2017-07-26,25250
130,2017-07-25,24950
131,2017-07-24,24750
132,2017-07-21,25300
133,2017-07-20,25300
134,2017-07-19,25550
135,2017-07-18,25400
136,2017-07-17,25400
137,2017-07-14,25500
138,2017-07-13,25250
139,2017-07-12,25250
140,2017-07-11,25600
141,2017-07-10,25700
142,2017-07-07,26150
143,2017-07-06,26350
144,2017-07-05,25700
145,2017-07-04,25700
146,2017-07-03,25750
147,2017-06-30,25650
148,2017-06-29,26150
149,2017-06-28,26200
150,2017-06-27,25850
151,2017-06-26,26500
152,2017-06-23,26250
153,2017-06-22,26300
154,2017-06-21,25950
155,2017-06-20,26300
156,2017-06-19,25950
157,2017-06-16,26500
158,2017-06-15,25700
159,2017-06-14,25350
160,2017-06-13,25500
161,2017-06-12,26200
162,2017-06-09,25750
163,2017-06-08,25750
164,2017-06-07,25600
165,2017-06-05,26100
166,2017-06-02,26550
167,2017-06-01,25600
168,2017-05-31,25800
169,2017-05-30,25350
170,2017-05-29,25700
171,2017-05-26,25200
172,2017-05-25,25200
173,2017-05-24,25200
174,2017-05-23,24550
175,2017-05-22,25150
176,2017-05-19,25250
177,2017-05-18,25400
