,날짜,종가,전일비,시가,고가,저가,거래량
0,2018.02.06,33650.0,7750.0,28300.0,33650.0,27000.0,37965.0
1,2018.02.05,25900.0,2850.0,23000.0,25900.0,22650.0,8582.0
2,2018.02.02,23050.0,450.0,22800.0,24000.0,22600.0,1349.0
3,2018.02.01,22600.0,200.0,22600.0,24000.0,22450.0,640.0
4,2018.01.31,22400.0,300.0,22000.0,22400.0,22000.0,27.0
5,2018.01.30,22100.0,50.0,22150.0,22400.0,22100.0,36.0
6,2018.01.29,22150.0,200.0,23000.0,23000.0,22100.0,301.0
7,2018.01.26,22350.0,550.0,22100.0,22500.0,21850.0,40.0
8,2018.01.25,21800.0,50.0,21950.0,22250.0,21500.0,799.0
9,2018.01.24,21850.0,300.0,22150.0,22300.0,21850.0,63.0
10,2018.01.23,22150.0,750.0,22550.0,22550.0,21650.0,132.0
11,2018.01.22,22900.0,900.0,22100.0,22900.0,22100.0,53.0
12,2018.01.19,22000.0,100.0,22100.0,22100.0,21750.0,16.0
13,2018.01.18,22100.0,50.0,21550.0,22150.0,21550.0,123.0
14,2018.01.17,22150.0,400.0,22150.0,22150.0,22150.0,10.0
15,2018.01.16,21750.0,50.0,21750.0,21800.0,21600.0,9.0
16,2018.01.15,21800.0,500.0,21700.0,21950.0,21450.0,362.0
17,2018.01.12,22300.0,250.0,22300.0,22300.0,22300.0,2.0
18,2018.01.11,22050.0,150.0,22000.0,22050.0,22000.0,185.0
19,2018.01.10,21900.0,150.0,21750.0,22000.0,21550.0,312.0
20,2018.01.09,21750.0,50.0,22000.0,22450.0,21750.0,115.0
21,2018.01.08,21700.0,200.0,21600.0,22250.0,21600.0,3339.0
22,2018.01.05,21900.0,600.0,22500.0,22500.0,21900.0,800.0
23,2018.01.04,22500.0,350.0,22650.0,22650.0,21700.0,90.0
24,2018.01.03,22150.0,100.0,22100.0,22550.0,21550.0,744.0
25,2018.01.02,22050.0,250.0,22750.0,25700.0,22050.0,4778.0
26,2017.12.28,21800.0,50.0,21800.0,21800.0,21800.0,565.0
27,2017.12.27,21750.0,250.0,21600.0,21750.0,21100.0,263.0
28,2017.12.26,21500.0,0.0,21500.0,21500.0,21350.0,46.0
29,2017.12.22,21500.0,100.0,21650.0,21700.0,21500.0,204.0
30,2017.12.21,21600.0,450.0,22250.0,22250.0,21350.0,50.0
31,2017.12.20,22050.0,50.0,22000.0,22200.0,22000.0,20.0
32,2017.12.19,22000.0,100.0,21650.0,22000.0,21500.0,45.0
33,2017.12.18,21900.0,50.0,21850.0,21900.0,21850.0,14.0
34,2017.12.15,21950.0,650.0,21550.0,22000.0,21550.0,2779.0
35,2017.12.14,21300.0,250.0,21550.0,21550.0,21100.0,111.0
36,2017.12.13,21550.0,0.0,21550.0,21550.0,21550.0,5.0
37,2017.12.12,21550.0,200.0,21250.0,21550.0,21250.0,32.0
38,2017.12.11,21350.0,450.0,21650.0,21700.0,21350.0,33.0
39,2017.12.08,21800.0,450.0,21800.0,21800.0,21800.0,17.0
40,2017.12.07,21350.0,950.0,22050.0,22050.0,21350.0,308.0
41,2017.12.06,22300.0,1300.0,20800.0,22300.0,20800.0,516.0
42,2017.12.05,21000.0,150.0,21000.0,21050.0,20850.0,268.0
43,2017.12.04,21150.0,50.0,21250.0,21250.0,21000.0,215.0
44,2017.12.01,21200.0,0.0,21350.0,21400.0,21150.0,507.0
45,2017.11.30,21200.0,200.0,21400.0,21400.0,20800.0,167.0
46,2017.11.29,21400.0,50.0,21600.0,21600.0,21000.0,102.0
47,2017.11.28,21350.0,50.0,21450.0,21450.0,21150.0,309.0
48,2017.11.27,21400.0,350.0,21350.0,21400.0,20700.0,466.0
49,2017.11.24,21050.0,250.0,21300.0,21300.0,21050.0,261.0
50,2017.11.23,21300.0,150.0,21200.0,21300.0,21100.0,118.0
51,2017.11.22,21150.0,100.0,21050.0,21300.0,21050.0,538.0
52,2017.11.21,21250.0,200.0,22000.0,22000.0,21200.0,861.0
53,2017.11.20,21450.0,250.0,22000.0,22000.0,21450.0,563.0
54,2017.11.17,21700.0,1300.0,22600.0,22600.0,21700.0,4915.0
55,2017.11.16,23000.0,250.0,23000.0,23000.0,23000.0,7.0
56,2017.11.15,23250.0,100.0,23250.0,23250.0,23250.0,0.0
57,2017.11.14,23350.0,0.0,23350.0,23350.0,23350.0,5.0
58,2017.11.13,23350.0,350.0,22950.0,23350.0,22950.0,7.0
59,2017.11.10,23000.0,0.0,23000.0,23000.0,23000.0,24.0
60,2017.11.09,23000.0,50.0,22650.0,23000.0,22550.0,21.0
61,2017.11.08,23050.0,350.0,22700.0,23050.0,22700.0,19.0
62,2017.11.07,22700.0,100.0,22750.0,22750.0,22700.0,27.0
63,2017.11.06,22800.0,400.0,22800.0,22800.0,22750.0,59.0
64,2017.11.03,23200.0,750.0,23100.0,23200.0,23100.0,69.0
65,2017.11.02,23950.0,900.0,23050.0,23950.0,23050.0,8.0
66,2017.11.01,23050.0,150.0,22650.0,23050.0,22650.0,26.0
67,2017.10.31,23200.0,0.0,23200.0,23200.0,23200.0,12.0
68,2017.10.30,23200.0,0.0,22750.0,23200.0,22700.0,11.0
69,2017.10.27,23200.0,300.0,23000.0,23200.0,22700.0,87.0
70,2017.10.26,22900.0,1400.0,24300.0,24750.0,22100.0,182.0
71,2017.10.25,24300.0,600.0,25000.0,25000.0,23500.0,29.0
72,2017.10.24,23700.0,100.0,23750.0,23800.0,23150.0,28.0
73,2017.10.23,23800.0,0.0,23800.0,23800.0,23800.0,7.0
74,2017.10.20,23800.0,1100.0,23750.0,23850.0,23750.0,45.0
75,2017.10.19,22700.0,50.0,22300.0,22750.0,22300.0,40.0
76,2017.10.18,22750.0,0.0,22200.0,23900.0,22200.0,34.0
77,2017.10.17,22750.0,300.0,22750.0,23550.0,22750.0,42.0
78,2017.10.16,23050.0,0.0,23050.0,23050.0,23050.0,12.0
79,2017.10.13,23050.0,700.0,22350.0,23050.0,22350.0,75.0
80,2017.10.12,22350.0,650.0,22350.0,22650.0,22300.0,36.0
81,2017.10.11,23000.0,1450.0,21300.0,23000.0,21300.0,14.0
82,2017.10.10,21550.0,100.0,21450.0,21750.0,21450.0,10.0
