,car_brand_name,car_fuel,car_type,name
0,현대,가솔린, ,i30 (PD) (16년~현재)
1,현대,디젤, ,i30 (PD) (16년~현재)
2,현대,가솔린, ,더 뉴 i30 (15~16년)
3,현대,디젤, ,더 뉴 i30 (15~16년)
4,현대,가솔린, ,i30(신형) (11~15년)
5,현대,디젤, ,i30(신형) (11~15년)
6,현대,가솔린, ,i30 (07~11년)
7,현대,디젤, ,i30 (07~11년)
8,현대,가솔린, ,i30 cw (08~11년)
9,현대,디젤, ,i30 cw (08~11년)
10,현대,가솔린, ,더 뉴 i40 (15년~현재)
11,현대,디젤, ,더 뉴 i40 (15년~현재)
12,현대,가솔린, ,더 뉴 i40 살룬(15년~현재)
13,현대,디젤, ,더 뉴 i40 살룬(15년~현재)
14,현대,가솔린, ,i40 (11~15년)
15,현대,디젤, ,i40 (11~15년)
16,현대,가솔린, ,i40 살룬 (12~15년)
17,현대,디젤, ,i40 살룬 (12~15년)
18,현대,디젤, ,갤로퍼 2 (97~03년)
19,현대,LPG(일반인 구입), ,갤로퍼 2 (97~03년)
20,현대,디젤, ,갤로퍼 (91~97년)
21,현대,가솔린, ,그랜저 IG (16년~현재)
22,현대,디젤, ,그랜저 IG (16년~현재)
23,현대,LPG, ,그랜저 IG (16년~현재)
24,현대,가솔린+전기, ,그랜저 IG 하이브리드 (17년~현재)
25,현대,가솔린, ,그랜저 HG (11~16년)
26,현대,디젤, ,그랜저 HG (11~16년)
27,현대,LPG, ,그랜저 HG (11~16년)
28,현대,LPG(일반인 구입), ,그랜저 HG (11~16년)
29,현대,가솔린+전기, ,그랜저 HG 하이브리드 (13~17년)
30,현대,가솔린+LPG, ,그랜저 HG 하이브리드 (13~17년)
31,현대,가솔린, ,더 럭셔리 그랜저 (09~11년)
32,현대,LPG(일반인 구입), ,더 럭셔리 그랜저 (09~11년)
33,현대,가솔린+CNG, ,더 럭셔리 그랜저 (09~11년)
34,현대,가솔린, ,그랜저 뉴 럭셔리 (08~09년)
35,현대,LPG, ,그랜저 뉴 럭셔리 (08~09년)
36,현대,LPG(일반인 구입), ,그랜저 뉴 럭셔리 (08~09년)
37,현대,가솔린, ,그랜저 TG (05~08년)
38,현대,LPG, ,그랜저 TG (05~08년)
39,현대,LPG(일반인 구입), ,그랜저 TG (05~08년)
40,현대,가솔린+CNG, ,그랜저 TG (05~08년)
41,현대,가솔린, ,뉴 그랜저 XG (02~05년)
42,현대,LPG, ,뉴 그랜저 XG (02~05년)
43,현대,LPG(일반인 구입), ,뉴 그랜저 XG (02~05년)
44,현대,가솔린+LPG, ,뉴 그랜저 XG (02~05년)
45,현대,가솔린, ,그랜저 XG (98~02년)
46,현대,LPG(일반인 구입), ,그랜저 XG (98~02년)
47,현대,가솔린+LPG, ,그랜저 XG (98~02년)
48,현대,가솔린, ,뉴 그랜저 (92~98년)
49,현대,가솔린, ,그랜저 (86~92년)
50,현대,가솔린+LPG, ,그랜저 (86~92년)
51,현대,디젤, ,뉴그레이스 (93~04년)
52,현대,LPG(일반인 구입), ,뉴그레이스 (93~04년)
53,현대,가솔린, ,다이너스티(96~05년)
54,현대,가솔린+LPG, ,다이너스티(96~05년)
55,현대,가솔린, ,라비타(01~07년)
56,현대,가솔린, ,마르샤(65~98년)
